day,emissions
2019-03-04 00:00:00,9026.705307064
2019-03-05 00:00:00,9024.542509448
2019-03-06 00:00:00,9022.380230038
2019-03-07 00:00:00,9020.218468711
2019-03-08 00:00:00,9018.057225340
2019-03-09 00:00:00,9015.896499805
2019-03-10 00:00:00,9013.736291977
2019-03-11 00:00:00,9011.576601737
2019-03-12 00:00:00,9009.417428956
2019-03-13 00:00:00,9007.258773515
2019-03-14 00:00:00,9005.100635286
2019-03-15 00:00:00,9002.943014148
2019-03-16 00:00:00,9000.785909975
2019-03-17 00:00:00,8998.629322643
2019-03-18 00:00:00,8996.473252031
2019-03-19 00:00:00,8994.317698012
2019-03-20 00:00:00,8992.162660464
2019-03-21 00:00:00,8990.008139262
2019-03-22 00:00:00,8987.854134284
2019-03-23 00:00:00,8985.700645406
2019-03-24 00:00:00,8983.547672502
2019-03-25 00:00:00,8981.395215450
2019-03-26 00:00:00,8979.243274128
2019-03-27 00:00:00,8977.091848411
2019-03-28 00:00:00,8974.940938173
2019-03-29 00:00:00,8972.790543296
2019-03-30 00:00:00,8970.640663651
2019-03-31 00:00:00,8968.491299117
2019-04-01 00:00:00,8966.342449572
2019-04-02 00:00:00,8964.194114891
2019-04-03 00:00:00,8962.046294949
2019-04-04 00:00:00,8959.898989626
2019-04-05 00:00:00,8957.752198797
2019-04-06 00:00:00,8955.605922338
2019-04-07 00:00:00,8953.460160127
2019-04-08 00:00:00,8951.314912041
2019-04-09 00:00:00,8949.170177956
2019-04-10 00:00:00,8947.025957748
2019-04-11 00:00:00,8944.882251296
2019-04-12 00:00:00,8942.739058476
2019-04-13 00:00:00,8940.596379164
2019-04-14 00:00:00,8938.454213238
2019-04-15 00:00:00,8936.312560575
2019-04-16 00:00:00,8934.171421051
2019-04-17 00:00:00,8932.030794545
2019-04-18 00:00:00,8929.890680932
2019-04-19 00:00:00,8927.751080090
2019-04-20 00:00:00,8925.611991896
2019-04-21 00:00:00,8923.473416228
2019-04-22 00:00:00,8921.335352962
2019-04-23 00:00:00,8919.197801976
2019-04-24 00:00:00,8917.060763147
2019-04-25 00:00:00,8914.924236352
2019-04-26 00:00:00,8912.788221468
2019-04-27 00:00:00,8910.652718375
2019-04-28 00:00:00,8908.517726946
2019-04-29 00:00:00,8906.383247061
2019-04-30 00:00:00,8904.249278599
2019-05-01 00:00:00,8902.115821434
2019-05-02 00:00:00,8899.982875446
2019-05-03 00:00:00,8897.850440510
2019-05-04 00:00:00,8895.718516507
2019-05-05 00:00:00,8893.587103312
2019-05-06 00:00:00,8891.456200804
2019-05-07 00:00:00,8889.325808859
2019-05-08 00:00:00,8887.195927356
2019-05-09 00:00:00,8885.066556173
2019-05-10 00:00:00,8882.937695186
2019-05-11 00:00:00,8880.809344275
2019-05-12 00:00:00,8878.681503316
2019-05-13 00:00:00,8876.554172188
2019-05-14 00:00:00,8874.427350767
2019-05-15 00:00:00,8872.301038934
2019-05-16 00:00:00,8870.175236564
2019-05-17 00:00:00,8868.049943536
2019-05-18 00:00:00,8865.925159728
2019-05-19 00:00:00,8863.800885018
2019-05-20 00:00:00,8861.677119285
2019-05-21 00:00:00,8859.553862405
2019-05-22 00:00:00,8857.431114257
2019-05-23 00:00:00,8855.308874719
2019-05-24 00:00:00,8853.187143671
2019-05-25 00:00:00,8851.065920988
2019-05-26 00:00:00,8848.945206550
2019-05-27 00:00:00,8846.825000235
2019-05-28 00:00:00,8844.705301921
2019-05-29 00:00:00,8842.586111487
2019-05-30 00:00:00,8840.467428811
2019-05-31 00:00:00,8838.349253771
2019-06-01 00:00:00,8836.231586244
2019-06-02 00:00:00,8834.114426112
2019-06-03 00:00:00,8831.997773251
2019-06-04 00:00:00,8829.881627538
2019-06-05 00:00:00,8827.765988856
2019-06-06 00:00:00,8825.650857078
2019-06-07 00:00:00,8823.536232088
2019-06-08 00:00:00,8821.422113760
2019-06-09 00:00:00,8819.308501975
2019-06-10 00:00:00,8817.195396611
2019-06-11 00:00:00,8815.082797548
2019-06-12 00:00:00,8812.970704662
2019-06-13 00:00:00,8810.859117834
2019-06-14 00:00:00,8808.748036942
2019-06-15 00:00:00,8806.637461865
2019-06-16 00:00:00,8804.527392480
2019-06-17 00:00:00,8802.417828670
2019-06-18 00:00:00,8800.308770309
2019-06-19 00:00:00,8798.200217279
2019-06-20 00:00:00,8796.092169458
2019-06-21 00:00:00,8793.984626725
2019-06-22 00:00:00,8791.877588959
2019-06-23 00:00:00,8789.771056040
2019-06-24 00:00:00,8787.665027844
2019-06-25 00:00:00,8785.559504254
2019-06-26 00:00:00,8783.454485146
2019-06-27 00:00:00,8781.349970401
2019-06-28 00:00:00,8779.245959898
2019-06-29 00:00:00,8777.142453515
2019-06-30 00:00:00,8775.039451131
2019-07-01 00:00:00,8772.936952628
2019-07-02 00:00:00,8770.834957882
2019-07-03 00:00:00,8768.733466775
2019-07-04 00:00:00,8766.632479183
2019-07-05 00:00:00,8764.531994990
2019-07-06 00:00:00,8762.432014071
2019-07-07 00:00:00,8760.332536307
2019-07-08 00:00:00,8758.233561579
2019-07-09 00:00:00,8756.135089764
2019-07-10 00:00:00,8754.037120744
2019-07-11 00:00:00,8751.939654395
2019-07-12 00:00:00,8749.842690601
2019-07-13 00:00:00,8747.746229237
2019-07-14 00:00:00,8745.650270187
2019-07-15 00:00:00,8743.554813328
2019-07-16 00:00:00,8741.459858539
2019-07-17 00:00:00,8739.365405702
2019-07-18 00:00:00,8737.271454696
2019-07-19 00:00:00,8735.178005400
2019-07-20 00:00:00,8733.085057694
2019-07-21 00:00:00,8730.992611458
2019-07-22 00:00:00,8728.900666572
2019-07-23 00:00:00,8726.809222917
2019-07-24 00:00:00,8724.718280370
2019-07-25 00:00:00,8722.627838813
2019-07-26 00:00:00,8720.537898125
2019-07-27 00:00:00,8718.448458188
2019-07-28 00:00:00,8716.359518880
2019-07-29 00:00:00,8714.271080082
2019-07-30 00:00:00,8712.183141673
2019-07-31 00:00:00,8710.095703534
2019-08-01 00:00:00,8708.008765544
2019-08-02 00:00:00,8705.922327586
2019-08-03 00:00:00,8703.836389538
2019-08-04 00:00:00,8701.750951279
2019-08-05 00:00:00,8699.666012692
2019-08-06 00:00:00,8697.581573656
2019-08-07 00:00:00,8695.497634051
2019-08-08 00:00:00,8693.414193758
2019-08-09 00:00:00,8691.331252657
2019-08-10 00:00:00,8689.248810629
2019-08-11 00:00:00,8687.166867553
2019-08-12 00:00:00,8685.085423310
2019-08-13 00:00:00,8683.004477782
2019-08-14 00:00:00,8680.924030847
2019-08-15 00:00:00,8678.844082388
2019-08-16 00:00:00,8676.764632285
2019-08-17 00:00:00,8674.685680416
2019-08-18 00:00:00,8672.607226665
2019-08-19 00:00:00,8670.529270911
2019-08-20 00:00:00,8668.451813035
2019-08-21 00:00:00,8666.374852918
2019-08-22 00:00:00,8664.298390440
2019-08-23 00:00:00,8662.222425482
2019-08-24 00:00:00,8660.146957925
2019-08-25 00:00:00,8658.071987651
2019-08-26 00:00:00,8655.997514538
2019-08-27 00:00:00,8653.923538469
2019-08-28 00:00:00,8651.850059325
2019-08-29 00:00:00,8649.777076987
2019-08-30 00:00:00,8647.704591333
2019-08-31 00:00:00,8645.632602248
2019-09-01 00:00:00,8643.561109612
2019-09-02 00:00:00,8641.490113304
2019-09-03 00:00:00,8639.419613207
2019-09-04 00:00:00,8637.349609201
2019-09-05 00:00:00,8635.280101169
2019-09-06 00:00:00,8633.211088991
2019-09-07 00:00:00,8631.142572546
2019-09-08 00:00:00,8629.074551719
2019-09-09 00:00:00,8627.007026390
2019-09-10 00:00:00,8624.939996438
2019-09-11 00:00:00,8622.873461748
2019-09-12 00:00:00,8620.807422199
2019-09-13 00:00:00,8618.741877672
2019-09-14 00:00:00,8616.676828049
2019-09-15 00:00:00,8614.612273214
2019-09-16 00:00:00,8612.548213044
2019-09-17 00:00:00,8610.484647423
2019-09-18 00:00:00,8608.421576232
2019-09-19 00:00:00,8606.358999354
2019-09-20 00:00:00,8604.296916667
2019-09-21 00:00:00,8602.235328056
2019-09-22 00:00:00,8600.174233402
2019-09-23 00:00:00,8598.113632585
2019-09-24 00:00:00,8596.053525488
2019-09-25 00:00:00,8593.993911993
2019-09-26 00:00:00,8591.934791981
2019-09-27 00:00:00,8589.876165333
2019-09-28 00:00:00,8587.818031932
2019-09-29 00:00:00,8585.760391660
2019-09-30 00:00:00,8583.703244399
2019-10-01 00:00:00,8581.646590029
2019-10-02 00:00:00,8579.590428434
2019-10-03 00:00:00,8577.534759495
2019-10-04 00:00:00,8575.479583094
2019-10-05 00:00:00,8573.424899112
2019-10-06 00:00:00,8571.370707434
2019-10-07 00:00:00,8569.317007938
2019-10-08 00:00:00,8567.263800510
2019-10-09 00:00:00,8565.211085030
2019-10-10 00:00:00,8563.158861379
